@RELATION perfEvents

@ATTRIBUTE counter_values_L1-dcache-prefetch-misses REAL
@ATTRIBUTE counter_values_L1-icache-load-misses REAL
@ATTRIBUTE counter_values_branch-loads REAL
@ATTRIBUTE counter_values_cycles REAL
@ATTRIBUTE classLabel REAL

@DATA
92837,613747,3660591,70544232,9
87551,634544,4606748,71846610,9
90079,598523,4780975,75822572,9
77180,439552,3416720,59890529,9
96447,678059,5050138,78477051,9
67074,401293,2805070,47840637,9
98218,724590,5476875,86392727,9
93088,632851,4448651,67812695,9
82343,481875,3034494,59484548,9
254475,2027704,22301379,200261622,9
187264,816486,8011144,107533840,9
285707,552515,15972817,160719589,9
273307,886827,16914940,157900637,9
334035,706992,14008156,148997649,9
89921,460915,4265894,64292995,9
92336,667449,4833296,74897987,9
90674,559301,3407082,64002964,9
106335,910529,7431181,102591449,9
86048,523217,3381131,60858665,9
74215,452158,3193103,54486196,9
116235,982975,7359716,98379726,9
92184,515769,3920091,68501882,9
88759,466425,3558103,62596527,9
106702,782446,5205923,86237004,9
112897,749546,5429463,83747517,9
83700,584183,4495433,66127439,9
81382,420963,3121550,54949404,9
86051,599312,4915526,70522352,9
91947,665825,5569035,71484323,9
70311,438597,2884937,49845777,9
114900,646758,5738131,85082432,9
90249,586447,4141407,68941927,9
82131,500279,3240980,57801203,9
103293,798463,5874203,93029593,9
106402,768587,5533812,85686356,9
93645,611662,3516516,71042586,9
96672,706634,4994061,78580746,9
85379,614924,5194190,69475486,9
109020,802523,6003463,90479201,9
77480,445556,3130960,57844556,9
85502,509785,3275653,61951546,9
115622,866991,7049188,95562650,9
90222,518261,3700589,64488148,9
86204,603854,4088678,70012851,9
125114,958227,8127867,105850898,9
95243,703584,4279233,81512850,9
105344,680544,5359759,86223068,9
92483,615204,3825328,68988484,9
104228,800292,5424552,88369496,9
106672,699381,5130107,82657040,9
89840,571002,3958383,68213762,9
95784,670674,4949931,78483087,9
102333,697224,5161723,79912902,9
90790,555985,3614305,68413677,9
96568,620527,4545034,72487042,9
100788,699210,4908361,82003589,9
85248,557835,3953430,71617938,9
105863,749591,5078966,89241864,9
103463,770937,5930491,88608490,9
83897,528278,3597209,63728147,9
92462,573099,4295920,69767243,9
79686,509446,4161541,59010114,9
111109,886928,7534010,95140915,9
83335,533384,3395120,63191937,9
80440,495822,3811088,65186735,9
114824,890035,6789340,97993128,9
85015,466490,3276572,60658510,9
87111,550466,4073056,66792151,9
96788,639590,4498789,76157979,9
103963,769672,5417601,87708665,9
108389,788493,5386297,91933318,9
