@RELATION perfEvents

@ATTRIBUTE counter_values_cache-misses REAL
@ATTRIBUTE counter_values_cache-references REAL
@ATTRIBUTE counter_values_instructions REAL
@ATTRIBUTE counter_values_mem-stores REAL
@ATTRIBUTE classLabel REAL

@DATA
241976,578847,25010566,5763412,9
269539,626610,23070998,5159052,9
290109,704480,31581145,7019553,9
271446,577809,25227863,5726489,9
313431,734659,29775682,6674010,9
228333,542377,24374871,5599764,9
345640,762633,31497252,6914402,9
273015,684022,24386540,5649607,9
312742,726745,29803461,6596378,9
369331,889722,30610658,6920272,9
291239,654533,26350339,6088978,9
275900,629169,41313581,9586982,9
279554,631526,24394179,5612493,9
292774,623981,29378547,6422126,9
266169,624915,25192163,5709436,9
262043,558464,23159933,5100541,9
297970,688543,31193338,6983313,9
276516,628141,26542984,6109320,9
293783,700880,37487418,8153948,9
251733,610047,24690138,5630453,9
301907,631814,26625717,6148363,9
271053,661067,27224769,5993354,9
306703,647129,27394566,6137650,9
241223,534446,24195126,5442675,9
273917,655558,27822575,6484431,9
291540,631643,26811542,5696525,9
257887,617805,21498929,4747733,9
409207,1115740,42320464,8851590,9
342302,935892,57615495,11749701,9
319336,792180,29714969,6828102,9
228943,499566,22170648,4637623,9
219281,477610,20425638,4514993,9
265854,619745,24334418,5548269,9
276119,721780,47217954,10578846,9
274055,1796959,119203586,23964335,9
267806,1502414,113847184,22719266,9
232061,1426470,75940892,15865082,9
212732,535860,25803166,5546263,9
175907,395975,18219887,4099218,9
204567,460135,17612022,3915823,9
190534,467312,22828832,4938882,9
179970,464878,17599198,3826272,9
201251,478250,24203034,5244503,9
198588,521282,20142861,4946993,9
228873,728998,26885062,6582169,9
78847,175161,7495406,1988395,9
89952,281806,11332245,3038468,9
73934,222996,10613039,2869838,9
114089,432272,19647165,4543088,9
598605,3740391,172566554,36273704,9
825083,2280862,100746477,20926799,9
279239,1018852,102286608,24277427,9
408705,1963565,300741523,72654486,9
1139960,3425568,139239231,31613173,9
806504,2839786,148349476,33165685,9
883811,3132150,258923612,51606195,9
445727,1204224,45695881,10246507,9
306376,799505,27681068,6290271,9
360358,897608,31174624,6683618,9
415525,1135197,42204494,9502171,9
292423,721146,24685995,5363718,9
370439,933216,32031437,7109932,9
338541,836936,30644424,6674998,9
347903,872262,33213403,7439294,9
497899,1343297,49933156,11110337,9
608008,1987764,85748679,17893148,9
347559,905562,35132675,7679389,9
362094,998908,35274116,7815523,9
330991,806450,27016297,5642640,9
375974,1045495,39020260,8722633,9
406945,1129943,40638575,8719159,9
324241,815554,33703519,7200097,9
387180,1017904,35913074,7564114,9
423798,1173157,60456005,13892161,9
360392,1004739,35139952,7172743,9
360612,1002744,41598597,7922460,9
312790,764330,24232055,5319352,9
463818,1324660,50671508,11640542,9
335848,827141,34933628,6283222,9
327387,828894,31308957,6103499,9
348227,990129,37923876,8855705,9
% 
% 
% 
