@RELATION perfEvents

@ATTRIBUTE counter_values_L1-dcache-load-misses REAL
@ATTRIBUTE counter_values_bus-cycles REAL
@ATTRIBUTE counter_values_cache-misses REAL
@ATTRIBUTE counter_values_instructions REAL
@ATTRIBUTE classLabel REAL

@DATA
1614832,5585461,512861,66665162,9
1678647,5352564,556180,76107466,9
620219,1710438,258837,23382978,9
942919,2700360,359683,31649911,9
890936,2619014,330573,32956822,9
866354,2433586,329580,27928485,9
728094,1921897,294761,23839067,9
778564,2215607,309697,24078177,9
1111547,3966345,424169,45876951,9
733590,1963709,278504,27521455,9
986373,2892596,354981,32494831,9
961611,2889943,379739,35858036,9
839413,2169769,316835,25063414,9
947183,2938953,366992,33247243,9
760637,2033650,305726,24394312,9
915923,2615375,333045,31207472,9
1003135,3096802,379888,34712440,9
936659,2771941,361965,32326096,9
1056962,3341119,399403,37713130,9
737347,2021794,293983,23271769,9
825454,2327162,314677,29118933,9
869636,2881346,326489,34193814,9
927025,2840682,378371,34854819,9
940513,2885368,382869,32495424,9
997095,2960481,366476,37336781,9
1060734,3287577,384397,37474215,9
884519,2732001,308629,35982710,9
% 
% 
% 
