@RELATION perfEvents

@ATTRIBUTE counter_values_L1-dcache-load-misses REAL
@ATTRIBUTE counter_values_branch-loads REAL
@ATTRIBUTE counter_values_cache-references REAL
@ATTRIBUTE counter_values_instructions REAL
@ATTRIBUTE classLabel REAL

@DATA
2620088,20207281,1314590,495555878,8
2427825,20072217,1248363,563825729,8
2904100,21902696,1469219,557610511,8
2659051,20777004,1353256,517254444,8
2663259,20230016,1345995,505103648,8
2848917,22478730,1471054,592018928,8
2878354,20881688,1472919,525252781,8
2131757,18489096,1088245,473376223,8
2742531,21823900,1355867,566810559,8
2710503,19591692,1479536,480873907,8
2670984,21256282,1375638,551373760,8
2570735,20904785,1302509,538782949,8
2845925,21992976,1465395,581984345,8
2643933,20057346,1360514,509038727,8
2553597,18605671,1311653,478074858,8
2889973,22720542,1466677,593099733,8
2703249,19251258,1385474,480483361,8
2645481,21857030,1392769,587774530,8
2658579,20088931,1385596,513601037,8
2667064,20866221,1418133,517848472,8
2732704,21644194,1307097,519178145,8
2657831,21849768,1430017,568483045,8
2544972,20965227,1310016,542569221,8
2484520,19843393,1255285,494813274,8
2248589,17835858,1167055,492876840,8
2684727,21007278,1391878,540093361,8
2765206,20816445,1346298,538737246,8
2227387,14892968,1227349,362706092,8
869217,4041543,891485,30515383,9
1051002,6634759,1006573,41955936,9
804733,3489601,793391,26670801,9
958883,4475291,978553,37432125,9
1110645,6922737,1094604,41129346,9
879955,3965088,897027,29541781,9
1033611,5412515,1056698,39565876,9
817043,3399943,828391,28056860,9
1044909,5450782,1075728,36902768,9
1047071,4866199,1095656,38396123,9
927658,3863686,942014,34345217,9
1068638,5494347,1137777,38141662,9
1015627,6008395,976610,36858683,9
671495,2857814,621190,22228989,9
688524,3701272,673429,24142206,9
644385,2974842,627021,20879905,9
563603,3060019,518235,19785026,9
747496,3665426,699336,25385993,9
615036,2638643,585590,19716607,9
589429,3240019,590272,20485250,9
744788,3984290,680213,26763746,9
621764,2601839,588679,19341577,9
634030,3818968,617747,23030154,9
684940,3175682,617634,25809982,9
597227,2781227,571279,20040731,9
681495,3501155,655961,22944085,9
717573,4503696,702316,33228791,9
609971,3561778,604326,21137722,9
848142,4085671,798526,27739025,9
588733,2915066,549506,20397858,9
770596,4455537,732035,27597709,9
545760,2542797,515150,17361854,9
715087,3215659,656941,23484254,9
754245,3940194,682871,25876734,9
623185,4453885,583743,25718918,9
758166,3797580,740593,24845620,9
615135,2971029,569829,20483513,9
810568,5251201,818850,30530143,9
754193,4015442,704151,25558131,9
631731,2539626,606780,19134729,9
620449,2703427,572990,19715008,9
677958,3477993,640060,23091589,9
600824,2600210,570407,19358570,9
571659,2884447,520183,20975723,9
761587,3811486,677497,26371884,9
601088,2574476,568614,19190987,9
705637,3644309,673452,24036940,9
628011,2730181,589875,19836389,9
634737,2875350,603433,20447176,9
719164,3692618,703927,23353252,9
606951,2524466,578147,18875112,9
772975,5673788,763145,31420026,9
606100,2557236,560117,19100998,9
595427,2667315,562642,21695754,9
707000,3890065,682918,25118951,9
573788,2642471,544147,19353601,9
639493,2881471,597224,20470514,9
730863,3757288,689162,24501758,9
600208,2677246,563532,19518850,9
826870,4627221,798025,29209419,9
552251,2339097,508325,17334482,9
637586,2692113,585252,20475557,9
690020,3596607,678866,22995307,9
666793,3254554,603573,22614230,9
737395,3094389,729313,21279754,9
627388,2940824,595965,22409733,9
584952,2366468,563051,16708233,9
825101,4081355,769445,27617322,9
601723,2666942,542338,19566798,9
599817,3145295,587306,20179491,9
771387,4439174,761642,28875669,9
631150,2026642,563790,16950407,9
639288,3558329,613422,24013149,9
676762,3087859,635000,21899210,9
690969,2494244,635453,20549835,9
709378,4589579,696798,26783538,9
648750,2123155,615059,18783874,9
590207,2934919,571482,20540519,9
736971,3989343,720417,25548972,9
616166,2998854,603976,20761596,9
717933,4157633,700562,26342476,9
555257,1862050,522080,15883330,9
611133,2880670,565363,22450086,9
770189,3936420,786942,25988509,9
705903,3572660,698219,24154111,9
591465,2491142,552012,18921677,9
711354,3311093,679421,22326134,9
701844,3227793,672272,22494455,9
796115,3861789,785553,25172809,9
664865,2818732,655721,20346688,9
588070,2723514,562412,19876059,9
